Event_ID,Event_Date,Event_Name,Category,Description,Expected_Price_Direction
1,1990-08-02,Iraqi Invasion of Kuwait,Geopolitical Conflict,"Iraq invaded Kuwait removing roughly 4.3 million barrels/day of combined output from the market and prompting UN sanctions. Monthly average price rose from about $17 to $36 by October 1990.",Increase
2,1991-01-17,Gulf War / Operation Desert Storm Begins,Geopolitical Conflict,"US-led coalition launched military action to expel Iraqi forces from Kuwait. Rapid coalition success eased fears of prolonged supply disruption and prices began falling as outcome became clear.",Decrease
3,1997-07-02,Asian Financial Crisis Onset,Economic Shock,"Currency and financial crisis beginning in Thailand spread across Asia, sharply reducing regional oil demand and contributing to a price collapse to around $11/barrel by December 1998.",Decrease
4,1999-03-23,OPEC Production Cut Agreement,OPEC Policy,"OPEC and allied producers agreed to significant output cuts to end the 1998 price crash, helping stabilize prices and set the stage for the 2000s price recovery.",Increase
5,2001-09-11,September 11 Terrorist Attacks,Geopolitical Event,"Attacks on the US raised geopolitical risk premiums and briefly disrupted markets amid broader economic uncertainty and a global demand slowdown.",Increase
6,2002-12-02,Venezuelan PDVSA National Strike,Supply Disruption,"A national strike at Venezuela's state oil company PDVSA sharply curtailed the country's oil exports for several months, tightening global supply.",Increase
7,2003-03-20,Iraq War / US Invasion of Iraq,Geopolitical Conflict,"US-led invasion of Iraq disrupted Iraqi production and added a geopolitical risk premium to prices during the 2000s demand boom.",Increase
8,2008-07-11,Oil Price Peaks at Record High (~$147/barrel),Market Extreme,"Robust emerging-market demand (especially China/India) combined with constrained supply growth pushed prices to an all-time nominal record.",Increase
9,2008-09-15,Global Financial Crisis (Lehman Brothers Collapse),Economic Shock,"The collapse of Lehman Brothers triggered a global financial crisis; collapsing industrial activity and demand caused oil prices to crash roughly 70% within months.",Decrease
10,2011-02-15,Arab Spring / Libyan Civil War,Geopolitical Conflict,"Political uprisings across the Middle East and North Africa, including civil war in Libya, cut roughly 1.5 million barrels/day of output and raised regional supply-risk premiums.",Increase
11,2014-11-27,OPEC Declines to Cut Production,OPEC Policy,"Facing a US shale-driven supply glut, OPEC (led by Saudi Arabia) chose to maintain output rather than cut, accelerating a price collapse from over $100 to below $50 by early 2015.",Decrease
12,2016-11-30,OPEC+ Production Cut Agreement,OPEC Policy,"OPEC and non-OPEC producers (including Russia) agreed to their first joint production cuts since 2001, helping stabilize prices after the 2014-2016 collapse.",Increase
13,2018-05-08,US Withdrawal from Iran Nuclear Deal,Geopolitical/Sanctions,"The US withdrew from the JCPOA and reimposed sanctions on Iranian oil exports, tightening global supply expectations.",Increase
14,2020-03-08,Saudi-Russia Oil Price War Begins,OPEC Policy,"Saudi Arabia and Russia failed to agree on output cuts amid collapsing COVID-19 demand and launched a price war, flooding the market and crashing prices.",Decrease
15,2020-04-20,WTI Futures Turn Negative / OPEC+ Record Cut,Market Extreme,"COVID-19 demand destruction and storage capacity constraints briefly pushed US WTI futures negative; OPEC+ responded with a record 9.7 million barrels/day production cut agreement.",Decrease
16,2022-02-24,Russian Invasion of Ukraine,Geopolitical Conflict,"Russia's invasion of Ukraine triggered Western sanctions on the world's second/third-largest oil exporter, sending Brent crude above $110-130/barrel amid severe supply-disruption fears.",Increase